status,title,total_price,price,admin_fee,layout,area,nearest_station,walk_minutes,walking_distance_actual,address,access,url,last_updated,source
active,GENOVIA木場II,13.0,11.5,1.5,1DK,25.76,木場駅,7,8.0,東京都江東区東陽１,"東京メトロ東西線/木場駅 歩7分
東京メトロ東西線/東陽町駅 歩8分
東京メトロ東西線/門前仲町駅 歩22分",https://suumo.jp/chintai/jnc_000102799328/?bc=100472749675,2025-12-07 03:47:36,SUUMO
active,GENOVIA木場II,13.0,11.5,1.5,2K,25.76,木場駅,7,8.0,東京都江東区東陽１,"東京メトロ東西線/木場駅 歩7分
東京メトロ東西線/東陽町駅 歩8分
ＪＲ京葉線/潮見駅 歩26分",https://suumo.jp/chintai/jnc_000102799325/?bc=100472518516,2025-12-06 10:59:08,SUUMO
active,GENOVIA木場II,13.0,11.5,1.5,1DK,25.76,木場駅,7,8.0,東京都江東区東陽１,"東京メトロ東西線/木場駅 歩7分
東京メトロ東西線/東陽町駅 歩8分
東京メトロ東西線/門前仲町駅 歩20分",https://suumo.jp/chintai/jnc_000102799326/?bc=100476328002,2025-12-10 23:20:26,SUUMO
active,ガーラ・アヴェニュー木場,12.4,11.5,0.9,2K,25.43,木場駅,5,6.0,東京都江東区東陽３,"東京メトロ東西線/木場駅 歩5分
東京メトロ東西線/東陽町駅 歩6分
東京メトロ東西線/門前仲町駅 歩18分",https://suumo.jp/chintai/jnc_000102777219/?bc=100473700204,2025-12-06 12:02:00,SUUMO
active,JPnoie門前仲町（ジェイピーノイエ門前仲町）,13.7,12.5,1.2,1DK,25.15,越中島駅,3,7.0,東京都江東区古石場１,"ＪＲ京葉線/越中島駅 歩3分
都営大江戸線/門前仲町駅 歩5分
東京メトロ有楽町線/月島駅 歩11分",https://suumo.jp/chintai/jnc_000101728841/?bc=100472670797,2025-12-10 23:20:26,SUUMO
active,JPnoie門前仲町,14.2,13.0,1.2,1DK,25.15,門前仲町駅,5,7.0,東京都江東区古石場１,"東京メトロ東西線/門前仲町駅 歩5分
ＪＲ京葉線/越中島駅 歩3分
東京メトロ有楽町線/月島駅 歩13分",https://suumo.jp/chintai/jnc_000102386381/?bc=100469145901,2025-12-06 12:02:00,SUUMO
active,グラシア　プレイス　東陽町,13.4,11.9,1.5,1DK,25.59,木場駅,5,6.0,東京都江東区東陽３,"東京メトロ東西線/木場駅 歩5分
ＪＲ京葉線/潮見駅 歩28分
都営大江戸線/門前仲町駅 歩20分",https://suumo.jp/chintai/jnc_000101952938/?bc=100465077182,2025-12-07 03:47:36,SUUMO
active,ＳＹＦＯＲＭＥ　ＭＯＮＺＥＮ ＮＡＫＡＣＨＯ,13.15,12.15,1.0,1DK,25.66,門前仲町駅,5,1.0,東京都江東区永代２,"東京メトロ東西線/門前仲町駅 歩5分
ＪＲ京葉線/越中島駅 歩10分
東京メトロ半蔵門線/水天宮前駅 歩18分",https://suumo.jp/chintai/jnc_000102324194/?bc=100468587113,2025-12-11 03:58:34,SUUMO
active,SYFORME　MONZEN-NAKACHO,13.4,12.4,1.0,1DK,28.2,門前仲町駅,5,1.0,東京都江東区永代２,"東京メトロ東西線/門前仲町駅 歩5分
都営大江戸線/門前仲町駅 歩5分
ＪＲ京葉線/越中島駅 歩10分",https://suumo.jp/chintai/jnc_000102799302/?bc=100472620432,2025-12-06 12:02:00,SUUMO
active,SYFORME　MONZEN-NAKACHO,15.0,13.0,2.0,1DK,28.2,門前仲町駅,5,1.0,東京都江東区永代２,"東京メトロ東西線/門前仲町駅 歩5分
都営大江戸線/門前仲町駅 歩5分
ＪＲ京葉線/越中島駅 歩10分",https://suumo.jp/chintai/jnc_000100680855/?bc=100468280314,2025-12-06 12:02:00,SUUMO
active,エスポワール門前仲町,13.4,12.2,1.2,1DK,22.17,門前仲町駅,5,6.0,東京都江東区深川２,"東京メトロ東西線/門前仲町駅 歩5分
東京メトロ半蔵門線/清澄白河駅 歩14分
東京メトロ東西線/木場駅 歩16分",https://suumo.jp/chintai/jnc_000102932465/?bc=100474063571,2025-12-10 23:20:26,SUUMO
active,エスポワール門前仲町,13.5,12.3,1.2,1DK,22.17,門前仲町駅,5,6.0,東京都江東区深川２,"東京メトロ東西線/門前仲町駅 歩5分
東京メトロ半蔵門線/清澄白河駅 歩14分
ＪＲ京葉線/越中島駅 歩18分",https://suumo.jp/chintai/jnc_000103057491/?bc=100474664362,2025-12-06 12:02:00,SUUMO
active,エスポワール門前仲町,13.5,12.3,1.2,1DK,22.17,門前仲町駅,5,6.0,東京都江東区深川２,"東京メトロ東西線/門前仲町駅 歩5分
東京メトロ半蔵門線/清澄白河駅 歩14分
ＪＲ京葉線/越中島駅 歩18分",https://suumo.jp/chintai/jnc_000103294444/?bc=100476488231,2025-12-06 12:02:00,SUUMO
active,シティフォレスト森下,12.5,12.5,0.0,1DK,25.37,森下駅,6,6.0,東京都江東区森下３,"都営大江戸線/森下駅 歩6分
都営新宿線/菊川駅 歩7分
都営大江戸線/清澄白河駅 歩12分",https://suumo.jp/chintai/jnc_000100496259/?bc=100459907615,2025-12-06 12:02:00,SUUMO
active,シティフォレスト森下,12.7,12.7,0.0,1DK,25.37,森下駅,6,6.0,東京都江東区森下３,"都営大江戸線/森下駅 歩6分
都営新宿線/菊川駅 歩7分
都営大江戸線/清澄白河駅 歩12分",https://suumo.jp/chintai/jnc_000100496262/?bc=100466140395,2025-12-06 12:02:00,SUUMO
active,アーバネックス深川木場,13.5,12.5,1.0,1DK,25.25,木場駅,3,3.0,東京都江東区東陽３,"東京メトロ東西線/木場駅 歩3分
東京メトロ東西線/東陽町駅 歩7分
都営大江戸線/門前仲町駅 歩20分",https://suumo.jp/chintai/jnc_000102853961/?bc=100476327852,2025-12-06 12:02:00,SUUMO
active,アーバネックス深川木場,13.5,12.5,1.0,1DK,25.2,木場駅,3,3.0,東京都江東区東陽３,"東京メトロ東西線/木場駅 歩3分
東京メトロ東西線/東陽町駅 歩7分
都営大江戸線/門前仲町駅 歩20分",https://suumo.jp/chintai/jnc_000100594758/?bc=100471114629,2025-12-06 12:02:00,SUUMO
active,アーバネックス深川木場,14.0,13.0,1.0,1DK,25.25,木場駅,3,3.0,東京都江東区東陽３,"東京メトロ東西線/木場駅 歩3分
東京メトロ東西線/東陽町駅 歩7分
都営大江戸線/門前仲町駅 歩20分",https://suumo.jp/chintai/jnc_000101601917/?bc=100461272174,2025-12-06 12:02:00,SUUMO
